map_name,unlock_version,area_group,area_detail
猫島,ver1,ウェナ諸島,アストルティア初期/関連エリア
ねじれたる異形の大地,ver2,レンダーシア大陸,レンダーシア系
呪われた大地,ver1,エルトナ大陸,アストルティア初期/関連エリア
タービア草原,ver7.0,果ての大地ゼニアス,ゼニアス系
ターボル峡谷,ver5.0,魔界,魔界系
帝国技術庁・第一庁舎,ver4.3,過去と未来,古ドワチャッカ系
太古の氷穴,ver4.2,過去と未来,エテーネ王国/時渡り系
大神殿・地下,ver3,ナドラガンド大陸,Ver3系として確認
大審門,ver5.0,魔界,魔界系
帝国技術庁・第二庁舎,ver4.3,過去と未来,古ドワチャッカ系
ダズの岩穴,ver1,オーグリード大陸,アストルティア初期/関連エリア
ダズの船着き場,ver4.2,過去と未来,古オーグリード系
盾ルクスガルン大空洞,ver5.4,魔界,魔界系
谷間の広場,ver2,レンダーシア大陸,レンダーシア系
ダラズ採掘場,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ダラズ大鉱脈,ver4.3,過去と未来,古ドワチャッカ系
ダラリア砂岩遺跡,ver3,ドワチャッカ大陸,Ver3で初めて訪れるアストルティア側マップ
断罪の剣,ver7.2,果ての大地ゼニアス,ゼニアス系
知恵の眠る遺跡,ver1,ウェナ諸島,アストルティア初期/関連エリア
血潮の浜辺,ver5.1,魔界,魔界系
地底湖の洞くつ,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
チョッピ荒野,ver1,プクランド大陸,アストルティア初期/関連エリア
月明かりの家,ver5.0,魔界,魔界系
ツスクルの村,ver1,エルトナ大陸,アストルティア初期/関連エリア
ツスクル平野,ver1,エルトナ大陸,アストルティア初期/関連エリア
ティプローネ高地,ver4,過去と未来,古・ティプローネ高地/現・ティプローネ高地の総称として補完。実データ優先
デスディオ暗黒高原,ver5.2,魔界,正表記は「デスディオ暗黒荒原」の可能性。追記実データを残して補完
デマトード高地,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
デモンマウンテン,ver5.0,魔界,魔界系
天使の墓所,ver6.4,神話の時代,神話の時代系
天水の聖塔,ver3,ナドラガンド大陸,ナドラガンド/領界系
天涙の大水源,ver6.0,天星郷フォーリオン,天星郷系
トガス岩道,ver1,オーグリード大陸,アストルティア初期/関連エリア
時の王者の悔恨,ver6.1,悪神の心域,悪神の心域系
時見の祭壇,ver4,過去と未来,エテーネ王国/時渡り系
とこしえの氷原,ver3,ナドラガンド大陸,ナドラガンド/領界系
閉ざされた水路,ver5.5,魔界,魔界系
トポルの村,ver5.2,魔界,魔界系
ドラクロン山地,ver2,レンダーシア大陸,レンダーシア系
ドランド平原,ver4.2,過去と未来,古オーグリード系
ドルワーム王国,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ドルワーム水晶宮,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
アヴィーロ遺跡,ver3,ナドラガンド大陸,Ver3系として確認
暁の神殿,ver7.1,果ての大地ゼニアス,ゼニアス系
悪夢に沈んだメネト村,ver7.1,果ての大地ゼニアス,ゼニアス系
アグラニの町,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
アクロニア鉱山,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
アストルティア博物館,ver4.4,過去と未来,アルウェーン系
アズラン地方,ver1,エルトナ大陸,アストルティア初期/関連エリア
アペカの村,ver3,ナドラガンド大陸,ナドラガンド/領界系
アマラーク城下町,ver7.0,果ての大地ゼニアス,ゼニアス系
アマラーク城,ver7.0,果ての大地ゼニアス,ゼニアス系
天ツ風の原,ver3,ナドラガンド大陸,ナドラガンド/領界系
アルウェーンの町,ver4.4,過去と未来,アルウェーン系
イーサの村,ver3,ナドラガンド大陸,ナドラガンド/領界系
偽りの海風の洞くつ,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのコニウェア平原,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りの三門の関所,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのジャイラ密林,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのゼドラ洞,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのセレドット山道,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのセレドの町,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのソーラリア峡谷,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのダーマ神殿,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのデフェル荒野,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのピラミッド,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りの古き神の遺跡,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りの魔女の森,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのメルサンディ村,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのメルン水車郷,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのリャナ荒涼地帯,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのリンジャの塔,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのロヴォス高地,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのローヌ樹林帯,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽りのワルド水源,ver2,偽りのレンダーシア,偽りのレンダーシア系
イナミノ街道,ver1,エルトナ大陸,アストルティア初期/関連エリア
イル・ラビリンス,ver4.0,過去と未来,エテーネ王国/時渡り系
ヴァース大山林,ver1,ウェナ諸島,アストルティア初期/関連エリア
ヴェリナード城,ver1,ウェナ諸島,アストルティア初期/関連エリア
ヴェリナード城下町,ver1,ウェナ諸島,アストルティア初期/関連エリア
ヴェリナード領北,ver1,ウェナ諸島,アストルティア初期/関連エリア
ヴェリナード領西,ver1,ウェナ諸島,アストルティア初期/関連エリア
ヴェリナード領南,ver1,ウェナ諸島,アストルティア初期/関連エリア
ウォルド地方,ver7.0,果ての大地ゼニアス,ゼニアス系
歌姫の絶望,ver6.1,悪神の心域,悪神の心域系
宇宙船・立入禁止区画,ver4.4,過去と未来,アルウェーン系
海のとける洞くつ,ver1,ウェナ諸島,アストルティア初期/関連エリア
ウルベア地下遺跡,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ウルベア地下帝国,ver4.3,過去と未来,古ドワチャッカ系
ウルベア帝国城,ver4.3,過去と未来,古ドワチャッカ系
永遠の地下迷宮,ver1,エルトナ大陸,アストルティア初期/関連エリア
エゼソル峡谷,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
エテーネ王宮,ver4.0,過去と未来,エテーネ王国/時渡り系
エテーネ王国領,ver4.0,過去と未来,エテーネ王国/時渡り系
エピステーサ丘陵,ver1,プクランド大陸,アストルティア初期/関連エリア
エルトナの混沌,ver6.4,神話の時代,神話の時代系
炎樹の丘,ver3,エルトナ大陸,Ver3で初めて訪れるアストルティア側マップ
黄金のピラー,ver6.2,悪神の心域,悪神の心域系
王都カミハルムイ南,ver1,エルトナ大陸,アストルティア初期/関連エリア
王都キィンベル,ver4.0,過去と未来,エテーネ王国/時渡り系
王都ネクロデア跡,ver5.1,魔界,魔界系
王立アルケミア,ver4.0,過去と未来,エテーネ王国/時渡り系
オーフィーヌ海底,ver3,ナドラガンド大陸,ナドラガンド/領界系
オーフィーヌの海,ver3,ナドラガンド大陸,ナドラガンド/領界系
オルセコ王国領,ver4.2,過去と未来,古オーグリード系
オルセコ闘技城,ver4.2,過去と未来,古オーグリード系
オルッパ地下洞くつ,ver1,プクランド大陸,アストルティア初期/関連エリア
オルの船着き場,ver4.2,過去と未来,古オーグリード系
オルフェア地方西,ver1,プクランド大陸,アストルティア初期/関連エリア
オルフェア地方東,ver1,プクランド大陸,アストルティア初期/関連エリア
オルフェアの町,ver1,プクランド大陸,アストルティア初期/関連エリア
ガートラント城,ver1,オーグリード大陸,アストルティア初期/関連エリア
ガートラント城下町,ver1,オーグリード大陸,アストルティア初期/関連エリア
ガートラント領,ver1,オーグリード大陸,アストルティア初期/関連エリア
カーラモーラ村,ver3,ナドラガンド大陸,ナドラガンド/領界系
カーレルの氷雪洞,ver3,ナドラガンド大陸,ナドラガンド/領界系
ガイオス古海,ver3,ナドラガンド大陸,ナドラガンド/領界系
悔恨の牢獄,ver6.1,悪神の心域,悪神の心域系
海賊のアジト跡・地下,ver1,オーグリード大陸,アストルティア初期/関連エリア
海底都市ルシュカ,ver3,ナドラガンド大陸,ナドラガンド/領界系
ガウシア樹海,ver5.2,魔界,魔界系
輝きの草原,ver6.0,天星郷フォーリオン,天星郷系
岳都ガタラ,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
影の深底,ver7.2,果ての大地ゼニアス,ゼニアス系
影の谷,ver3,ナドラガンド大陸,ナドラガンド/領界系
カシャル海底神殿,ver3,ナドラガンド大陸,ナドラガンド/領界系
風の町アズラン,ver1,エルトナ大陸,アストルティア初期/関連エリア
ガタラ原野,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ガタラ大山林,ver4.3,過去と未来,古ドワチャッカ系
カミハルムイ領北,ver1,エルトナ大陸,アストルティア初期/関連エリア
カミハルムイ領南,ver1,エルトナ大陸,アストルティア初期/関連エリア
カミハルムイ城,ver1,エルトナ大陸,アストルティア初期/関連エリア
狩人のほら穴,ver1,オーグリード大陸,アストルティア初期/関連エリア
カルサドラ火山,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
カルデア山道,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
カルデア洞穴,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
カルデア溶岩帯,ver4.3,過去と未来,古ドワチャッカ系
川辺の休憩所,ver7.0,果ての大地ゼニアス,ゼニアス系
管理棟・冷眠室,ver4,過去と未来,エテーネ王国/時渡り系
鬼岩城,ver4.2,過去と未来,古オーグリード系
旧ネクロデア領,ver5.1,魔界,魔界系
キュララナ海岸,ver1,ウェナ諸島,アストルティア初期/関連エリア
キュロン丘陵,ver7.4,果ての大地ゼニアス,ゼニアス系
キュロン湿原,ver7.4,果ての大地ゼニアス,ゼニアス系
キラキラ大風車塔,ver1,プクランド大陸,アストルティア初期/関連エリア
キリカ草原,ver1,エルトナ大陸,アストルティア初期/関連エリア
ギルザッド地方,ver1,オーグリード大陸,アストルティア初期/関連エリア
儀礼場への洞くつ,ver6.0,天星郷フォーリオン,天星郷系
銀の森,ver5.4,魔界,魔界系
久遠の神殿,ver4,過去と未来,エテーネ王国/時渡り系
久遠の森,ver1,エルトナ大陸,アストルティア初期/関連エリア
朽ちた霊廟,ver5.2,魔界,魔界系
グラデル台地,ver5.3,魔界,魔界系
グランゼニスの試練場,ver7.3,果ての大地ゼニアス,ゼニアス系
グルグ地下道,ver1,オーグリード大陸,アストルティア初期/関連エリア
グレン城,ver1,オーグリード大陸,アストルティア初期/関連エリア
グレン城(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
グレン城下町,ver1,オーグリード大陸,アストルティア初期/関連エリア
グレン城下町(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
グレン領西,ver1,オーグリード大陸,アストルティア初期/関連エリア
グレン領東,ver1,オーグリード大陸,アストルティア初期/関連エリア
けがれの谷,ver1,プクランド大陸,アストルティア初期/関連エリア
結晶の森,ver7.0,果ての大地ゼニアス,ゼニアス系
ケラコーナ原生林,ver1,ウェナ諸島,アストルティア初期/関連エリア
ゲルト海峡,ver1,オーグリード大陸,アストルティア初期/関連エリア
ゲルト海峡(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
ゲルヘナ幻野,ver5.0,魔界,魔界系
賢者の隠れ家,ver1,プクランド大陸,アストルティア初期/関連エリア
業炎の聖塔,ver3,ナドラガンド大陸,ナドラガンド/領界系
古グランゼドーラ王国,ver4.1,過去と未来,古グランゼドーラ系
古グランゼドーラ城,ver4.1,過去と未来,古グランゼドーラ系
古グランゼドーラ領,ver4.1,過去と未来,古グランゼドーラ系
古グルグ地下道,ver4.3,過去と未来,古ドワチャッカ系
偽ココラタの浜辺,ver2,偽りのレンダーシア,偽りのレンダーシア系
試みの荒野,ver6.0,天星郷フォーリオン,天星郷系
ゴズ渓谷,ver3,オーグリード大陸,Ver3で初めて訪れるアストルティア側マップ
古代オルセコ闘技場,ver1,オーグリード大陸,アストルティア初期/関連エリア
ゴダ神殿,ver5.0,魔界,魔界系
古・誓約の園,ver7.4,果ての大地ゼニアス,ゼニアス系
古とこしえの神殿,ver6.4,神話の時代,神話の時代系
古フォーリオン,ver6.4,神話の時代,神話の時代系
ゴブル砂漠西,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ゴブル砂漠東,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
娯楽島ラッカラン,ver1,レンダーシア周辺・共通施設,アストルティア初期/関連エリア
コルット地方,ver1,ウェナ諸島,アストルティア初期/関連エリア
古レビュール街道北,ver4.1,過去と未来,古グランゼドーラ系
古レビュール街道南,ver4.1,過去と未来,古グランゼドーラ系
古ロヴォス高地,ver4.1,過去と未来,古グランゼドーラ系
紺碧のピラー,ver6.2,悪神の心域,悪神の心域系
ザード遺跡,ver5.0,魔界,魔界系
サーマリ高原,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
最果ての地下遺跡,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
砂岩の洞くつ,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ザグバン丘陵,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
サザミレ草原,ver2,レンダーシア大陸,レンダーシア系
ザハディガル岩峰,ver5.3,魔界,魔界系
ザマ峠,ver1,オーグリード大陸,アストルティア初期/関連エリア
残響の海蝕銅,ver4.0,過去と未来,正表記は「残響の海蝕洞」の可能性。追記実データを残して補完
三闘士の憤怒,ver6.1,悪神の心域,悪神の心域系
思案の洞くつ,ver7.3,果ての大地ゼニアス,ゼニアス系
詩歌の遺跡,ver1,ウェナ諸島,アストルティア初期/関連エリア
シエラ巡礼地,ver1,ウェナ諸島,アストルティア初期/関連エリア
獅子門,ver1,オーグリード大陸,アストルティア初期/関連エリア
獅子門・難民キャンプ,ver4.2,過去と未来,古オーグリード系
死せる結晶の荒野,ver6.3,天星郷フォーリオン,天星郷系
自然遺産保護区,ver4.4,過去と未来,アルウェーン系
漆黒の間,ver5.1,魔界,魔界系
灼熱の溶岩窟,ver4.3,過去と未来,古ドワチャッカ系
ジャゴヌバ神殿,ver5.3,魔界,魔界系
ジャリムバハ砂漠,ver5.0,魔界,魔界系
自由人の集落,ver4.0,過去と未来,エテーネ王国/時渡り系
シュタール鉱野,ver7.0,果ての大地ゼニアス,ゼニアス系
樹天の里,ver4.1,過去と未来,古グランゼドーラ系
ジュレイダ連塔遺跡,ver3,ウェナ諸島,Ver3で初めて訪れるアストルティア側マップ
ジュレー島下層,ver1,ウェナ諸島,アストルティア初期/関連エリア
ジュレー島上層,ver1,ウェナ諸島,アストルティア初期/関連エリア
ジュレットの町,ver1,ウェナ諸島,アストルティア初期/関連エリア
ジュレリア地下廃坑,ver1,ウェナ諸島,アストルティア初期/関連エリア
白灰のピラー,ver6.2,悪神の心域,悪神の心域系
新エテーネの村,ver3,レンダーシア大陸,Ver3クリア後に解放される村として扱い
神儀の護堂,ver4.1,過去と未来,エテーネ王国/時渡り系
神墟ナドラグラム,ver3,ナドラガンド大陸,ナドラガンド/領界系
神具解放の審問宮1,ver6.5,天星郷フォーリオン,天星郷系
神具解放の審問宮2,ver6.5,天星郷フォーリオン,天星郷系
神具解放の審問宮3,ver6.5,天星郷フォーリオン,天星郷系
真グランゼドーラ王国,ver2,真のレンダーシア,真のレンダーシア系
神獣の森,ver3,ナドラガンド大陸,ナドラガンド/領界系
神授の秘密殿,ver6.5,天星郷フォーリオン,天星郷系
深想の発露,ver7.2,果ての大地ゼニアス,ゼニアス系
神代の遺構,ver6.0,天星郷フォーリオン,天星郷系
神殿レイダメテス,ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
神都フォーリオン,ver6.0,天星郷フォーリオン,天星郷系
真のアラハギーロ王国,ver2,真のレンダーシア,真のレンダーシア系
真のアラハギーロ地方,ver2,真のレンダーシア,真のレンダーシア系
真の海風の洞くつ,ver2,真のレンダーシア,真のレンダーシア系
真のグランゼドーラ城,ver2,真のレンダーシア,真のレンダーシア系
真のグランゼドーラ領,ver2,真のレンダーシア,真のレンダーシア系
真のココラタの浜辺,ver2,真のレンダーシア,真のレンダーシア系
真のコニウェア平原,ver2,真のレンダーシア,真のレンダーシア系
真のこもれびの広場,ver2,真のレンダーシア,真のレンダーシア系
真の三門の関所,ver2,真のレンダーシア,真のレンダーシア系
真のジャイラ密林,ver2,真のレンダーシア,真のレンダーシア系
真のゼドラ洞,ver2,真のレンダーシア,真のレンダーシア系
真のセレドット山道,ver2,真のレンダーシア,真のレンダーシア系
真のセレドの町,ver2,真のレンダーシア,真のレンダーシア系
真のダーマ神殿,ver2,真のレンダーシア,真のレンダーシア系
真のデフェル荒野,ver2,真のレンダーシア,真のレンダーシア系
真のナシームの洞くつ,ver2,真のレンダーシア,真のレンダーシア系
真のピラミッド,ver2,真のレンダーシア,真のレンダーシア系
真の魔女の森,ver2,真のレンダーシア,真のレンダーシア系
真のメルサンディ村,ver2,真のレンダーシア,真のレンダーシア系
真のメルン水車郷,ver2,真のレンダーシア,真のレンダーシア系
真のリャナ荒涼地帯,ver2,真のレンダーシア,真のレンダーシア系
真のリンジャの塔,ver2,真のレンダーシア,真のレンダーシア系
真のリンジャハル海岸,ver2,真のレンダーシア,真のレンダーシア系
真のレビュール街道北,ver2,真のレンダーシア,真のレンダーシア系
真のレビュール街道南,ver2,真のレンダーシア,真のレンダーシア系
真のロヴォス高地,ver2,真のレンダーシア,真のレンダーシア系
真のローヌ樹林帯,ver2,真のレンダーシア,真のレンダーシア系
真のワルド水源,ver2,真のレンダーシア,真のレンダーシア系
真・魔幻宮殿,ver5.1,魔界,魔界系
真メルサンディ穀倉帯,ver2,真のレンダーシア,真のレンダーシア系
迅雷の丘,ver3,ナドラガンド大陸,ナドラガンド/領界系
スイゼン湿原,ver1,エルトナ大陸,アストルティア初期/関連エリア
スイの塔,ver1,エルトナ大陸,アストルティア初期/関連エリア
スイのやしろ,ver3,エルトナ大陸,Ver3.0ストーリーで解放。既存大陸内の後追加マップ
翠嵐の聖塔,ver3,ナドラガンド大陸,ナドラガンド/領界系
捨てられた城,ver1,エルトナ大陸,アストルティア初期/関連エリア
砂の都ファラザード,ver5.0,魔界,魔界系
スレア海岸,ver2,レンダーシア大陸,レンダーシア系
聖湖ゼニート,ver7.0,果ての大地ゼニアス,ゼニアス系
聖都エジャルナ,ver3,ナドラガンド大陸,ナドラガンド/領界系
世界球根,ver7.4,果ての大地ゼニアス,ゼニアス系
赤熱の荒野,ver3,ナドラガンド大陸,ナドラガンド/領界系
ゼクレス城,ver5.2,魔界,魔界系
ゼクレス城・地下,ver5.1,魔界,魔界系
ゼクレス城・宝物庫,ver5.0,魔界,魔界系
ゼクレス魔導国,ver5.0,魔界,魔界系
雪虫の洞くつ,ver4.2,過去と未来,エテーネ王国/時渡り系
ゼニスの封宮,ver7.0,果ての大地ゼニアス,ゼニアス系
