craftsman,category,equipmentLevel,craftLevel,equipmentName,materialName,quantity
武器職人,ハンマー,Lv6,Lv7,せいどうのかなづち,どうのこうせき,1
武器職人,ハンマー,Lv8,Lv14,てつのかなぼう,てっこうせき,1
武器職人,ハンマー,Lv8,Lv14,てつのかなぼう,するどいキバ,1
武器職人,ハンマー,Lv9,Lv14,おおかなづち,てっこうせき,1
武器職人,ハンマー,Lv9,Lv14,おおかなづち,つけもの石,1
武器職人,ハンマー,Lv11,Lv21,ぎんのかなづち,ぎんのこうせき,1
武器職人,ハンマー,Lv11,Lv21,ぎんのかなづち,てっこうせき,1
武器職人,ハンマー,Lv15,Lv28,はがねのかなづち,ぎんのこうせき,1
武器職人,ハンマー,Lv15,Lv28,はがねのかなづち,どうのこうせき,1
武器職人,ハンマー,Lv15,Lv28,はがねのかなづち,つけもの石,1
武器職人,ブーメラン,Lv3,Lv7,ブロンズブーメラン,どうのこうせき,1
武器職人,ブーメラン,Lv3,Lv7,ブロンズブーメラン,てっこうせき,1
武器職人,ブーメラン,Lv5,Lv7,やいばのブーメラン,てっこうせき,1
武器職人,ブーメラン,Lv5,Lv7,やいばのブーメラン,みがきずな,1
武器職人,ブーメラン,Lv7,Lv14,アイアンウィング,てっこうせき,1
武器職人,ブーメラン,Lv7,Lv14,アイアンウィング,するどい爪,1
武器職人,ブーメラン,Lv9,Lv14,クロスブーメラン,てっこうせき,1
武器職人,ブーメラン,Lv9,Lv14,クロスブーメラン,レッドベリー,1
武器職人,ブーメラン,Lv10,Lv21,シルバーサークル,ぎんのこうせき,1
武器職人,ブーメラン,Lv10,Lv21,シルバーサークル,かがみ石,1
武器職人,ブーメラン,Lv14,Lv28,はがねのブーメラン,ぎんのこうせき,1
武器職人,ブーメラン,Lv14,Lv28,はがねのブーメラン,どうのこうせき,1
武器職人,ブーメラン,Lv14,Lv28,はがねのブーメラン,小さなホネ,1
武器職人,片手剣,Lv12,Lv21,バスタードソード,ぎんのこうせき,1
武器職人,片手剣,Lv12,Lv21,バスタードソード,レッドアイ,1
武器職人,片手剣,Lv16,Lv28,ウェスタンレイピア,ぎんのこうせき,1
武器職人,片手剣,Lv16,Lv28,ウェスタンレイピア,てっこうせき,1
武器職人,片手剣,Lv16,Lv28,ウェスタンレイピア,みがきずな,1
武器職人,片手剣,Lv17,Lv35,戦士の剣,ぎんのこうせき,2
武器職人,片手剣,Lv17,Lv35,戦士の剣,てっこうせき,1
武器職人,片手剣,Lv17,Lv35,戦士の剣,するどいキバ,1
武器職人,片手剣,Lv20,Lv35,はじゃのつるぎ,ぎんのこうせき,1
武器職人,片手剣,Lv20,Lv35,はじゃのつるぎ,ホカホカストーン,1
武器職人,片手剣,Lv20,Lv35,はじゃのつるぎ,レッドアイ,1
武器職人,片手剣,Lv23,Lv35,はやぶさの剣,ぎんのこうせき,1
武器職人,片手剣,Lv23,Lv35,はやぶさの剣,ひかりの石,1
武器職人,片手剣,Lv23,Lv35,はやぶさの剣,てっこうせき,1
武器職人,片手剣,Lv25,Lv42,プラチナソード,プラチナこうせき,4
武器職人,片手剣,Lv25,Lv42,プラチナソード,まじゅうのホネ,1
武器職人,片手剣,Lv25,Lv42,プラチナソード,レッドベリー,3
武器職人,片手剣,Lv25,Lv42,プラチナソード,ようせいのひだね,4
武器職人,片手剣,Lv27,Lv42,まけんしのレイピア,プラチナこうせき,5
武器職人,片手剣,Lv27,Lv42,まけんしのレイピア,あやかしそう,2
武器職人,片手剣,Lv27,Lv42,まけんしのレイピア,暗黒の樹木,2
武器職人,片手剣,Lv27,Lv42,まけんしのレイピア,ようせいのひだね,5
武器職人,片手剣,Lv29,Lv42,ゾンビキラー,プラチナこうせき,6
武器職人,片手剣,Lv29,Lv42,ゾンビキラー,せいじゃのはい,1
武器職人,片手剣,Lv29,Lv42,ゾンビキラー,イエローアイ,1
武器職人,片手剣,Lv29,Lv42,ゾンビキラー,ようせいのひだね,6
武器職人,片手剣,Lv30,Lv42,ドラゴンキラー,プラチナこうせき,6
武器職人,片手剣,Lv30,Lv42,ドラゴンキラー,ドラゴンのツノ,1
武器職人,片手剣,Lv30,Lv42,ドラゴンキラー,レッドアイ,1
武器職人,片手剣,Lv30,Lv42,ドラゴンキラー,ようせいのひだね,8
武器職人,片手剣,Lv30,Lv50,ほのおのつるぎ,プラチナこうせき,10
武器職人,片手剣,Lv30,Lv50,ほのおのつるぎ,レッドオーブ,1
武器職人,片手剣,Lv30,Lv50,ほのおのつるぎ,ようがんのカケラ,30
武器職人,片手剣,Lv30,Lv50,ほのおのつるぎ,ようせいのひだね,10
武器職人,片手剣,Lv30,Lv50,きせきのつるぎ,プラチナこうせき,12
武器職人,片手剣,Lv30,Lv50,きせきのつるぎ,きよめの水,30
武器職人,片手剣,Lv30,Lv50,きせきのつるぎ,ブルーオーブ,1
武器職人,片手剣,Lv30,Lv50,きせきのつるぎ,ようせいのひだね,10
武器職人,片手剣,Lv33,Lv60,メタスラの剣,ひかりの石,15
武器職人,片手剣,Lv33,Lv60,メタスラの剣,ドラゴンのツノ,3
武器職人,片手剣,Lv33,Lv60,メタスラの剣,メタルのカケラ,1
武器職人,片手剣,Lv33,Lv60,メタスラの剣,ようせいのひだね,12
武器職人,片手剣,Lv34,Lv60,オニキスの魔剣,げんませき,1
武器職人,片手剣,Lv34,Lv60,オニキスの魔剣,よごれたほうたい,10
武器職人,片手剣,Lv34,Lv60,オニキスの魔剣,パープルオーブ,1
武器職人,片手剣,Lv34,Lv60,オニキスの魔剣,ようせいのひだね,12
武器職人,片手剣,Lv35,Lv65,ほしくずのつるぎ,ほしのカケラ,30
武器職人,片手剣,Lv35,Lv65,ほしくずのつるぎ,氷のけっしょう,30
武器職人,片手剣,Lv35,Lv65,ほしくずのつるぎ,かがみ石,5
武器職人,片手剣,Lv35,Lv65,ほしくずのつるぎ,グリーンオーブ,1
武器職人,片手剣,Lv35,Lv65,ほしくずのつるぎ,ようせいのひだね,10
武器職人,片手剣,Lv36,Lv70,聖王のつるぎ,幻獣のホネ,1
武器職人,片手剣,Lv36,Lv70,聖王のつるぎ,黄金の飾り片手剣,1
武器職人,片手剣,Lv36,Lv70,聖王のつるぎ,ドラゴンのツノ,1
武器職人,片手剣,Lv36,Lv70,聖王のつるぎ,虹色のオーブ,1
武器職人,片手剣,Lv36,Lv70,聖王のつるぎ,ようせいのひだね,5
武器職人,片手剣,Lv37,Lv75,ライトニングソード,マデュライト,10
武器職人,片手剣,Lv37,Lv75,ライトニングソード,メタルのカケラ,1
武器職人,片手剣,Lv37,Lv75,ライトニングソード,いかずちのたま,1
武器職人,片手剣,Lv37,Lv75,ライトニングソード,虹色のオーブ,1
武器職人,片手剣,Lv37,Lv75,ライトニングソード,ようせいのひだね,10
武器職人,片手剣,Lv38,Lv80,名刀 斬鉄丸,かがみ石,30
武器職人,片手剣,Lv38,Lv80,名刀 斬鉄丸,ヘビーメタル,5
武器職人,片手剣,Lv38,Lv80,名刀 斬鉄丸,シャークスキン,10
武器職人,片手剣,Lv38,Lv80,名刀 斬鉄丸,虹色のオーブ,1
武器職人,片手剣,Lv38,Lv80,名刀 斬鉄丸,ようせいのひだね,10
武器職人,片手剣,Lv39,Lv80,天命のつるぎ,マデュライト,15
武器職人,片手剣,Lv39,Lv80,天命のつるぎ,せいじゃのはい,5
武器職人,片手剣,Lv39,Lv80,天命のつるぎ,天使のソーマ,3
武器職人,片手剣,Lv39,Lv80,天命のつるぎ,虹色のオーブ,1
武器職人,片手剣,Lv39,Lv80,天命のつるぎ,ようせいのひだね,10
武器職人,片手剣,Lv40,Lv85,戦姫のレイピア,ナドラダイト鉱石,3
武器職人,片手剣,Lv40,Lv85,戦姫のレイピア,ちょうのはね,20
武器職人,片手剣,Lv40,Lv85,戦姫のレイピア,大きな化石,20
武器職人,片手剣,Lv40,Lv85,戦姫のレイピア,虹色のオーブ,1
武器職人,片手剣,Lv40,Lv85,戦姫のレイピア,ようせいのひだね,5
武器職人,片手剣,Lv41,Lv90,はやぶさの剣改,ナドラダイト鉱石,5
武器職人,片手剣,Lv41,Lv90,はやぶさの剣改,メタルのカケラ,1
武器職人,片手剣,Lv41,Lv90,はやぶさの剣改,かぜきりのはね,1
武器職人,片手剣,Lv41,Lv90,はやぶさの剣改,黄金の飾り片手剣,1
武器職人,片手剣,Lv41,Lv90,はやぶさの剣改,ようせいのひだね,5
武器職人,片手剣,Lv42,Lv93,セイクリッドソード,ナドラダイト鉱石,5
武器職人,片手剣,Lv42,Lv93,セイクリッドソード,人魚の涙,1
武器職人,片手剣,Lv42,Lv93,セイクリッドソード,せいれいせき,1
武器職人,片手剣,Lv42,Lv93,セイクリッドソード,きよめの水,30
武器職人,片手剣,Lv42,Lv93,セイクリッドソード,ようせいのひだね,5
武器職人,片手剣,Lv43,Lv96,天恵石のつるぎ,アステライト鉱石,5
武器職人,片手剣,Lv43,Lv96,天恵石のつるぎ,せいれいせき,1
武器職人,片手剣,Lv43,Lv96,天恵石のつるぎ,かがみ石,20
武器職人,片手剣,Lv43,Lv96,天恵石のつるぎ,緑の宝石,10
武器職人,片手剣,Lv43,Lv96,天恵石のつるぎ,ようせいのひだね,5
武器職人,片手剣,Lv44,Lv99,アカシックソード,アステライト鉱石,5
武器職人,片手剣,Lv44,Lv99,アカシックソード,炎魔の焼け石,1
武器職人,片手剣,Lv44,Lv99,アカシックソード,ぎんのこうせき,30
武器職人,片手剣,Lv44,Lv99,アカシックソード,赤いサンゴ,30
武器職人,片手剣,Lv44,Lv99,アカシックソード,ようせいのひだね,5
武器職人,片手剣,Lv45,Lv100,邪紋のつるぎ,アステライト鉱石,10
武器職人,片手剣,Lv45,Lv100,邪紋のつるぎ,幻獣のホネ,1
武器職人,片手剣,Lv45,Lv100,邪紋のつるぎ,ナドラダイト鉱石,5
武器職人,片手剣,Lv45,Lv100,邪紋のつるぎ,緑の宝石,30
武器職人,片手剣,Lv45,Lv100,邪紋のつるぎ,ようせいのひだね,5
武器職人,片手剣,Lv60,Lv105,呪印のつるぎ,デモニウム鉱石,5
武器職人,片手剣,Lv60,Lv105,呪印のつるぎ,暗夜の魔石,1
武器職人,片手剣,Lv60,Lv105,呪印のつるぎ,幻獣のホネ,5
武器職人,片手剣,Lv60,Lv105,呪印のつるぎ,ひかりの石,20
武器職人,片手剣,Lv60,Lv105,呪印のつるぎ,ようせいのひだね,5
武器職人,片手剣,Lv65,Lv108,デッドリーソード,デモニウム鉱石,5
武器職人,片手剣,Lv65,Lv108,デッドリーソード,おぼろ水晶,1
武器職人,片手剣,Lv65,Lv108,デッドリーソード,ドラゴンのツノ,3
武器職人,片手剣,Lv65,Lv108,デッドリーソード,小さな化石,5
武器職人,片手剣,Lv65,Lv108,デッドリーソード,ようせいのひだね,5
武器職人,片手剣,Lv65,Lv110,鳴神のつるぎ,デモニウム鉱石,5
武器職人,片手剣,Lv65,Lv110,鳴神のつるぎ,たそがれゴケ,1
武器職人,片手剣,Lv65,Lv110,鳴神のつるぎ,いかずちのたま,1
武器職人,片手剣,Lv65,Lv110,鳴神のつるぎ,おうごんのかけら,5
武器職人,片手剣,Lv65,Lv110,鳴神のつるぎ,ようせいのひだね,5
武器職人,片手剣,Lv65,Lv115,輝天のつるぎ,フォレース鉱石,30
武器職人,片手剣,Lv65,Lv115,輝天のつるぎ,おぼろ水晶,3
武器職人,片手剣,Lv65,Lv115,輝天のつるぎ,青い宝石,20
武器職人,片手剣,Lv65,Lv115,輝天のつるぎ,ホワイトパール,30
武器職人,片手剣,Lv65,Lv115,輝天のつるぎ,超ようせいのひだね,6
武器職人,片手剣,Lv70,Lv118,妖精の剣,フォレース鉱石,30
武器職人,片手剣,Lv70,Lv118,妖精の剣,彼岸の砂,3
武器職人,片手剣,Lv70,Lv118,妖精の剣,黄色の宝石,20
武器職人,片手剣,Lv70,Lv118,妖精の剣,アステライト鉱石,5
武器職人,片手剣,Lv70,Lv118,妖精の剣,超ようせいのひだね,7
武器職人,片手剣,Lv70,Lv120,セーラスソード,フォレース鉱石,30
武器職人,片手剣,Lv70,Lv120,セーラスソード,純白の結晶,5
武器職人,片手剣,Lv70,Lv120,セーラスソード,ブルーアイ,30
武器職人,片手剣,Lv70,Lv120,セーラスソード,黄金の飾り片手剣,1
武器職人,片手剣,Lv70,Lv120,セーラスソード,超ようせいのひだね,8
武器職人,片手剣,Lv75,Lv125,コメットソード,ゼーラズマ鉱石,30
武器職人,片手剣,Lv75,Lv125,コメットソード,烈風石,3
武器職人,片手剣,Lv75,Lv125,コメットソード,純白の結晶,20
武器職人,片手剣,Lv75,Lv125,コメットソード,黄金の飾り片手剣,1
武器職人,片手剣,Lv75,Lv125,コメットソード,超ようせいのひだね,8
武器職人,片手剣,Lv75,Lv130,レオンソード,ゼーラズマ鉱石,30
武器職人,片手剣,Lv75,Lv130,レオンソード,純白の結晶,3
武器職人,片手剣,Lv75,Lv130,レオンソード,こんじきの雲,3
武器職人,片手剣,Lv75,Lv130,レオンソード,せいじゃのはい,10
武器職人,片手剣,Lv75,Lv130,レオンソード,超ようせいのひだね,8
武器職人,片手剣,Lv75,Lv132,守護竜のつるぎ,ゼーラズマ鉱石,30
武器職人,片手剣,Lv75,Lv132,守護竜のつるぎ,おぼろ水晶,6
武器職人,片手剣,Lv75,Lv132,守護竜のつるぎ,水竜のうろこ,6
武器職人,片手剣,Lv75,Lv132,守護竜のつるぎ,ドラゴンのホネ,8
武器職人,片手剣,Lv75,Lv132,守護竜のつるぎ,超ようせいのひだね,9
武器職人,両手剣,Lv13,Lv21,おおばさみ,てっこうせき,1
武器職人,両手剣,Lv13,Lv21,おおばさみ,するどい爪,1
武器職人,両手剣,Lv16,Lv28,退魔の太刀,ぎんのこうせき,1
武器職人,両手剣,Lv16,Lv28,退魔の太刀,小さなホネ,1
武器職人,両手剣,Lv16,Lv28,退魔の太刀,さくらの花びら,1
武器職人,両手剣,Lv19,Lv35,ブラッドエッジ,ぎんのこうせき,1
武器職人,両手剣,Lv19,Lv35,ブラッドエッジ,まりょくの土,1
武器職人,両手剣,Lv19,Lv35,ブラッドエッジ,レッドベリー,1
武器職人,両手剣,Lv22,Lv35,クレセントエッジ,ぎんのこうせき,1
武器職人,両手剣,Lv22,Lv35,クレセントエッジ,どうのこうせき,1
武器職人,両手剣,Lv22,Lv35,クレセントエッジ,イエローアイ,1
武器職人,両手剣,Lv24,Lv35,斬夜の太刀,ぎんのこうせき,1
武器職人,両手剣,Lv24,Lv35,斬夜の太刀,こうもりのはね,1
武器職人,両手剣,Lv24,Lv35,斬夜の太刀,さくらの花びら,1
武器職人,両手剣,Lv26,Lv42,プラチナブレード,プラチナこうせき,4
武器職人,両手剣,Lv26,Lv42,プラチナブレード,てっこうせき,5
武器職人,両手剣,Lv26,Lv42,プラチナブレード,かがみ石,2
武器職人,両手剣,Lv26,Lv42,プラチナブレード,ようせいのひだね,4
武器職人,両手剣,Lv28,Lv42,デーモンバスター,プラチナこうせき,6
武器職人,両手剣,Lv28,Lv42,デーモンバスター,せいじゃのはい,1
武器職人,両手剣,Lv28,Lv42,デーモンバスター,レッドアイ,1
武器職人,両手剣,Lv28,Lv42,デーモンバスター,ようせいのひだね,6
武器職人,両手剣,Lv30,Lv42,ドラゴンバスター,プラチナこうせき,6
武器職人,両手剣,Lv30,Lv42,ドラゴンバスター,ドラゴンのツノ,1
武器職人,両手剣,Lv30,Lv42,ドラゴンバスター,グリーンアイ,1
武器職人,両手剣,Lv30,Lv42,ドラゴンバスター,ようせいのひだね,8
武器職人,両手剣,Lv30,Lv50,キングブレード,プラチナこうせき,10
武器職人,両手剣,Lv30,Lv50,キングブレード,ヘビーメタル,3
武器職人,両手剣,Lv30,Lv50,キングブレード,イエローオーブ,1
武器職人,両手剣,Lv30,Lv50,キングブレード,ようせいのひだね,10
武器職人,両手剣,Lv33,Lv50,大獄剣,プラチナこうせき,12
武器職人,両手剣,Lv33,Lv50,大獄剣,ようがんのカケラ,30
武器職人,両手剣,Lv33,Lv50,大獄剣,グリーンオーブ,1
武器職人,両手剣,Lv33,Lv50,大獄剣,ようせいのひだね,10
武器職人,両手剣,Lv33,Lv60,メタスラの大剣,ひかりの石,15
武器職人,両手剣,Lv33,Lv60,メタスラの大剣,大きな貝がら,5
武器職人,両手剣,Lv33,Lv60,メタスラの大剣,メタルのカケラ,1
武器職人,両手剣,Lv33,Lv60,メタスラの大剣,ようせいのひだね,12
武器職人,両手剣,Lv34,Lv60,天馬の大剣,天使のソーマ,2
武器職人,両手剣,Lv34,Lv60,天馬の大剣,ひかりの石,15
武器職人,両手剣,Lv34,Lv60,天馬の大剣,グリーンオーブ,1
武器職人,両手剣,Lv34,Lv60,天馬の大剣,ようせいのひだね,12
武器職人,両手剣,Lv35,Lv65,フォースブレード,ぶどうエキス,4
武器職人,両手剣,Lv35,Lv65,フォースブレード,ひかりの石,40
武器職人,両手剣,Lv35,Lv65,フォースブレード,いかずちのたま,1
武器職人,両手剣,Lv35,Lv65,フォースブレード,イエローオーブ,1
武器職人,両手剣,Lv35,Lv65,フォースブレード,ようせいのひだね,10
武器職人,両手剣,Lv36,Lv70,聖王の大剣,マデュライト,5
武器職人,両手剣,Lv36,Lv70,聖王の大剣,黄金の飾り両手剣,1
武器職人,両手剣,Lv36,Lv70,聖王の大剣,ドラゴンのホネ,1
武器職人,両手剣,Lv36,Lv70,聖王の大剣,虹色のオーブ,1
武器職人,両手剣,Lv36,Lv70,聖王の大剣,ようせいのひだね,5
武器職人,両手剣,Lv37,Lv75,エンパイアブレード,マデュライト,10
武器職人,両手剣,Lv37,Lv75,エンパイアブレード,幻獣のホネ,1
武器職人,両手剣,Lv37,Lv75,エンパイアブレード,メタルのカケラ,1
武器職人,両手剣,Lv37,Lv75,エンパイアブレード,虹色のオーブ,1
武器職人,両手剣,Lv37,Lv75,エンパイアブレード,ようせいのひだね,10
武器職人,両手剣,Lv38,Lv80,ケイオスブレード,ようがんのカケラ,30
武器職人,両手剣,Lv38,Lv80,ケイオスブレード,マデュライト,15
武器職人,両手剣,Lv38,Lv80,ケイオスブレード,赤いサンゴ,20
武器職人,両手剣,Lv38,Lv80,ケイオスブレード,虹色のオーブ,1
武器職人,両手剣,Lv38,Lv80,ケイオスブレード,ようせいのひだね,10
武器職人,両手剣,Lv39,Lv80,翠石の大剣,マデュライト,15
武器職人,両手剣,Lv39,Lv80,翠石の大剣,せいれいせき,1
武器職人,両手剣,Lv39,Lv80,翠石の大剣,緑の宝石,5
武器職人,両手剣,Lv39,Lv80,翠石の大剣,虹色のオーブ,1
武器職人,両手剣,Lv39,Lv80,翠石の大剣,ようせいのひだね,10
武器職人,両手剣,Lv40,Lv85,スレイプニール,ナドラダイト鉱石,3
武器職人,両手剣,Lv40,Lv85,スレイプニール,幻獣の皮,1
武器職人,両手剣,Lv40,Lv85,スレイプニール,大きなホネ,5
武器職人,両手剣,Lv40,Lv85,スレイプニール,虹色のオーブ,1
武器職人,両手剣,Lv40,Lv85,スレイプニール,ようせいのひだね,5
武器職人,両手剣,Lv41,Lv90,フューリーブレード,ナドラダイト鉱石,5
武器職人,両手剣,Lv41,Lv90,フューリーブレード,ホカホカストーン,30
武器職人,両手剣,Lv41,Lv90,フューリーブレード,ようがんのカケラ,30
武器職人,両手剣,Lv41,Lv90,フューリーブレード,プラチナこうせき,30
武器職人,両手剣,Lv41,Lv90,フューリーブレード,ようせいのひだね,5
武器職人,両手剣,Lv42,Lv93,聖大剣アスカロン,ナドラダイト鉱石,5
武器職人,両手剣,Lv42,Lv93,聖大剣アスカロン,せいじゃのはい,5
武器職人,両手剣,Lv42,Lv93,聖大剣アスカロン,ドラゴンのホネ,5
武器職人,両手剣,Lv42,Lv93,聖大剣アスカロン,ゴールドストーン,5
武器職人,両手剣,Lv42,Lv93,聖大剣アスカロン,ようせいのひだね,5
武器職人,両手剣,Lv43,Lv96,オートクレール,アステライト鉱石,5
武器職人,両手剣,Lv43,Lv96,オートクレール,幻獣のホネ,1
武器職人,両手剣,Lv43,Lv96,オートクレール,プラチナこうせき,30
武器職人,両手剣,Lv43,Lv96,オートクレール,てっこうせき,30
武器職人,両手剣,Lv43,Lv96,オートクレール,ようせいのひだね,5
武器職人,両手剣,Lv44,Lv99,神域の大剣,アステライト鉱石,5
武器職人,両手剣,Lv44,Lv99,神域の大剣,激震のキバ,1
武器職人,両手剣,Lv44,Lv99,神域の大剣,プラチナこうせき,20
武器職人,両手剣,Lv44,Lv99,神域の大剣,青い宝石,15
武器職人,両手剣,Lv44,Lv99,神域の大剣,ようせいのひだね,5
武器職人,両手剣,Lv45,Lv100,覇王の大剣,アステライト鉱石,10
武器職人,両手剣,Lv45,Lv100,覇王の大剣,げんませき,1
